"","USGSsiteID","Area_ac","calendaryear","siteCV"
"temp","16717000","12.04","2001","2.13966943872834"
"temp","16010000","3.82","2001","2.0524250014241"
"temp","16108000","10.44","2001","1.22371686551582"
"temp","16620000","4.18","2001","1.04163836098084"
"temp","16604500","6.13","2001","0.80030274630225"
"temp","16618000","3.4","2001","1.38892945454703"
"temp","16614000","4.27","2001","0.740405666366632"
"temp","16400000","4.68","2001","1.350163444376"
"temp","16240500","1.05","2001","1.00703738972868"
"temp","16284200","0.97","2001","0.210827106009798"
"temp","16296500","3.73","2001","0.780605409896444"
"temp","16304200","1.09","2001","1.72501191938476"
"temp","16294100","3.81","2001","0.305700033547768"
"temp","16294900","2.24","2001","1.33556655503482"
"temp","16330000","12.35","2001","2.61507028557742"
"temp","16717000","12.04","2002","2.21909020132472"
"temp","16010000","3.82","2002","2.51720327994248"
"temp","16108000","10.44","2002","1.32088111132423"
"temp","16620000","4.18","2002","1.24894188988143"
"temp","16604500","6.13","2002","0.962795854691415"
"temp","16618000","3.4","2002","1.84199718209427"
"temp","16614000","4.27","2002","0.839885933271905"
"temp","16400000","4.68","2002","2.0342879886544"
"temp","16240500","1.05","2002","1.67112358761956"
"temp","16284200","0.97","2002","1.52039635922542"
"temp","16296500","3.73","2002","2.85624066805473"
"temp","16304200","1.09","2002","2.91110319337921"
"temp","16294100","3.81","2002","1.32859735057461"
"temp","16294900","2.24","2002","3.80336302393244"
"temp","16330000","12.35","2002","4.3245257321549"
"temp","16717000","12.04","2003","2.19018861518591"
"temp","16010000","3.82","2003","1.91309973758663"
"temp","16108000","10.44","2003","1.04658472148811"
"temp","16620000","4.18","2003","1.27835868643908"
"temp","16604500","6.13","2003","1.13087474678737"
"temp","16618000","3.4","2003","2.37880016835728"
"temp","16614000","4.27","2003","0.78000969685446"
"temp","16400000","4.68","2003","2.29160328093818"
"temp","16240500","1.05","2003","2.15196061792627"
"temp","16284200","0.97","2003","1.32782854594363"
